time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-09T14:48:24.920Z,18.823,-155.2365,9.2,2.52,md,31,266,,0.11,hv,hv72827287,2022-02-12T23:07:14.040Z,"45 km SE of Naalehu, Hawaii",earthquake,0.61,0.54,0.198357420017582,14,reviewed,hv,hv
2021-12-08T14:08:17.720Z,18.9281666666667,-155.193166666667,7.24,2.89,ml,43,254,,0.15,hv,hv72826142,2022-02-12T23:06:44.040Z,"42 km SE of P?hala, Hawaii",earthquake,0.5,0.47,0.123776944295146,24,reviewed,hv,hv
2021-12-08T05:18:03.800Z,18.9236666666667,-155.185166666667,9.06,2.81,ml,44,252,,0.13,hv,hv72825752,2022-02-12T23:06:36.040Z,"43 km SE of P?hala, Hawaii",earthquake,0.49,0.41,0.13902719906729,26,reviewed,hv,hv
2021-12-06T20:31:42.560Z,18.8613333333333,-155.238833333333,11.89,2.6,ml,39,263,,0.12,hv,hv72824647,2022-02-12T23:06:16.040Z,"42 km ESE of Naalehu, Hawaii",earthquake,0.52,0.63,0.172235598021861,17,reviewed,hv,hv
2021-12-06T19:47:02.740Z,18.8623333333333,-155.205333333333,8.94,2.69,md,32,261,,0.14,hv,hv72824627,2022-02-12T23:06:16.040Z,"45 km ESE of Naalehu, Hawaii",earthquake,0.63,0.66,0.0579083172897383,11,reviewed,hv,hv
2021-11-30T18:36:03.380Z,18.9321666666667,-155.3385,44.27,2.89,md,48,242,,0.13,hv,hv72817797,2022-02-05T23:03:33.040Z,"Hawaii region, Hawaii",earthquake,0.58,0.82,0.0843285099557156,19,reviewed,hv,hv
2021-11-30T16:50:02.950Z,18.8858333333333,-155.220333333333,6.17,2.77,ml,48,257,,0.16,hv,hv72817682,2022-02-05T23:03:33.040Z,"42 km ESE of Naalehu, Hawaii",earthquake,0.4,0.44,0.201078335920693,16,reviewed,hv,hv
2021-11-30T15:03:31.570Z,18.834,-155.197666666667,9.73,3.49,ml,50,266,,0.17,hv,hv72817622,2022-02-05T23:03:31.040Z,"47 km ESE of Naalehu, Hawaii",earthquake,0.64,0.69,0.156109128962756,37,reviewed,hv,hv
2021-11-20T16:15:11.150Z,18.8633333333333,-155.238166666667,10.44,2.75,ml,45,259,,0.12,hv,hv72804882,2022-01-29T22:55:09.040Z,"42 km ESE of Naalehu, Hawaii",earthquake,0.69,0.73,0.23608335661983,21,reviewed,hv,hv
2021-11-05T03:19:55.800Z,18.8375,-155.1935,9.97,2.5,md,35,266,,0.16,hv,hv72783187,2021-11-25T06:15:13.950Z,"48 km ESE of Naalehu, Hawaii",earthquake,0.57,0.59,0.0796260023466182,13,reviewed,hv,hv
2021-09-07T22:36:07.270Z,18.7136666666667,-155.230333333333,6.73,3.59,ml,54,282,,0.18,hv,hv72696012,2022-08-08T14:52:38.454Z,"53 km SE of Naalehu, Hawaii",earthquake,0.77,0.99,0.119330067933989,40,reviewed,hv,hv
2021-09-04T12:02:20.610Z,18.7946662902832,-155.186660766602,16.4099998474121,3.05,ml,17,275,,0.219999999,hv,hv72690377,2021-09-04T12:07:51.270Z,"51 km SE of Naalehu, Hawaii",earthquake,1.89,19.7399998,3.77,22,automatic,hv,hv
2021-06-29T16:39:33.240Z,18.7806663513184,-155.306503295898,14.75,2.83,ml,13,300,,0.379999995,hv,hv72554142,2021-06-29T16:45:05.070Z,"42 km SE of Naalehu, Hawaii",earthquake,9.87,28.75,2.87,26,automatic,hv,hv
